states,categories,year_2011,year_2012,year_2013,sub_category
ANDHRA PRADESH,INFANTICIDE,1,6,6,CHILDREN
ARUNACHAL PRADESH,INFANTICIDE,0,0,0,CHILDREN
ASSAM,INFANTICIDE,0,0,0,CHILDREN
BIHAR,INFANTICIDE,5,2,0,CHILDREN
CHHATTISGARH,INFANTICIDE,10,5,3,CHILDREN
GOA,INFANTICIDE,0,0,0,CHILDREN
GUJARAT,INFANTICIDE,0,0,0,CHILDREN
HARYANA,INFANTICIDE,0,0,0,CHILDREN
HIMACHAL PRADESH,INFANTICIDE,0,0,0,CHILDREN
JAMMU & KASHMIR,INFANTICIDE,0,0,1,CHILDREN
JHARKHAND,INFANTICIDE,0,0,0,CHILDREN
KARNATAKA,INFANTICIDE,1,1,1,CHILDREN
KERALA,INFANTICIDE,1,0,0,CHILDREN
MADHYA PRADESH,INFANTICIDE,12,13,1,CHILDREN
MAHARASHTRA,INFANTICIDE,9,12,2,CHILDREN
MANIPUR,INFANTICIDE,0,0,0,CHILDREN
MEGHALAYA,INFANTICIDE,0,0,1,CHILDREN
MIZORAM,INFANTICIDE,0,0,0,CHILDREN
NAGALAND,INFANTICIDE,0,0,0,CHILDREN
ODISHA,INFANTICIDE,0,0,0,CHILDREN
PUNJAB,INFANTICIDE,4,1,1,CHILDREN
RAJASTHAN,INFANTICIDE,0,3,1,CHILDREN
SIKKIM,INFANTICIDE,0,1,0,CHILDREN
TAMIL NADU,INFANTICIDE,2,1,4,CHILDREN
TRIPURA,INFANTICIDE,0,0,0,CHILDREN
UTTAR PRADESH,INFANTICIDE,22,19,20,CHILDREN
UTTARAKHAND,INFANTICIDE,0,0,0,CHILDREN
WEST BENGAL,INFANTICIDE,0,1,0,CHILDREN
TOTAL-STATES,INFANTICIDE,67,65,41,CHILDREN
A & N ISLANDS,INFANTICIDE,0,0,0,CHILDREN
CHANDIGARH,INFANTICIDE,0,0,0,CHILDREN
D & N HAVELI,INFANTICIDE,0,0,0,CHILDREN
DAMAN & DIU,INFANTICIDE,0,0,0,CHILDREN
DELHI,INFANTICIDE,0,3,1,CHILDREN
LAKSHADWEEP,INFANTICIDE,0,0,0,CHILDREN
PUDUCHERRY,INFANTICIDE,0,0,0,CHILDREN
TOTAL-UTs,INFANTICIDE,0,3,1,CHILDREN
TOTAL-INDIA,INFANTICIDE,67,68,42,CHILDREN
ANDHRA PRADESH,MURDER ,118,140,97,CHILDREN
ARUNACHAL PRADESH,MURDER ,0,0,0,CHILDREN
ASSAM,MURDER ,10,15,19,CHILDREN
BIHAR,MURDER ,264,220,128,CHILDREN
CHHATTISGARH,MURDER ,59,74,54,CHILDREN
GOA,MURDER ,0,2,0,CHILDREN
GUJARAT,MURDER ,77,52,63,CHILDREN
HARYANA,MURDER ,15,58,110,CHILDREN
HIMACHAL PRADESH,MURDER ,9,9,8,CHILDREN
JAMMU & KASHMIR,MURDER ,8,0,10,CHILDREN
JHARKHAND,MURDER ,7,1,8,CHILDREN
KARNATAKA,MURDER ,42,65,107,CHILDREN
KERALA,MURDER ,40,29,39,CHILDREN
MADHYA PRADESH,MURDER ,181,191,163,CHILDREN
MAHARASHTRA,MURDER ,239,255,221,CHILDREN
MANIPUR,MURDER ,1,0,1,CHILDREN
MEGHALAYA,MURDER ,3,1,0,CHILDREN
MIZORAM,MURDER ,0,1,1,CHILDREN
NAGALAND,MURDER ,5,0,0,CHILDREN
ODISHA,MURDER ,18,25,50,CHILDREN
PUNJAB,MURDER ,62,43,35,CHILDREN
RAJASTHAN,MURDER ,48,35,60,CHILDREN
SIKKIM,MURDER ,3,0,0,CHILDREN
TAMIL NADU,MURDER ,126,118,103,CHILDREN
TRIPURA,MURDER ,21,3,8,CHILDREN
UTTAR PRADESH,MURDER ,647,927,938,CHILDREN
UTTARAKHAND,MURDER ,7,8,9,CHILDREN
WEST BENGAL,MURDER ,16,37,64,CHILDREN
TOTAL-STATES,MURDER ,2026,2309,2296,CHILDREN
A & N ISLANDS,MURDER ,1,1,0,CHILDREN
CHANDIGARH,MURDER ,6,0,3,CHILDREN
D & N HAVELI,MURDER ,1,0,0,CHILDREN
DAMAN & DIU,MURDER ,0,0,0,CHILDREN
DELHI,MURDER ,61,43,71,CHILDREN
LAKSHADWEEP,MURDER ,0,0,0,CHILDREN
PUDUCHERRY,MURDER ,0,0,0,CHILDREN
TOTAL-UTs,MURDER ,69,44,74,CHILDREN
TOTAL-INDIA,MURDER ,2095,2353,2370,CHILDREN
ANDHRA PRADESH,RAPE ,720,604,820,CHILDREN
ARUNACHAL PRADESH,RAPE ,20,18,33,CHILDREN
ASSAM,RAPE ,40,155,223,CHILDREN
BIHAR,RAPE ,93,148,96,CHILDREN
CHHATTISGARH,RAPE ,555,531,682,CHILDREN
GOA,RAPE ,21,49,63,CHILDREN
GUJARAT,RAPE ,166,210,314,CHILDREN
HARYANA,RAPE ,73,379,477,CHILDREN
HIMACHAL PRADESH,RAPE ,83,129,205,CHILDREN
JAMMU & KASHMIR,RAPE ,8,21,25,CHILDREN
JHARKHAND,RAPE ,16,4,10,CHILDREN
KARNATAKA,RAPE ,147,178,330,CHILDREN
KERALA,RAPE ,570,604,703,CHILDREN
MADHYA PRADESH,RAPE ,1524,1970,2538,CHILDREN
MAHARASHTRA,RAPE ,1053,1257,1932,CHILDREN
MANIPUR,RAPE ,5,7,3,CHILDREN
MEGHALAYA,RAPE ,48,84,99,CHILDREN
MIZORAM,RAPE ,41,74,56,CHILDREN
NAGALAND,RAPE ,15,8,3,CHILDREN
ODISHA,RAPE ,150,242,479,CHILDREN
PUNJAB,RAPE ,172,282,520,CHILDREN
RAJASTHAN,RAPE ,328,491,902,CHILDREN
SIKKIM,RAPE ,12,19,43,CHILDREN
TAMIL NADU,RAPE ,263,333,505,CHILDREN
TRIPURA,RAPE ,144,12,68,CHILDREN
UTTAR PRADESH,RAPE ,1573,1581,2143,CHILDREN
UTTARAKHAND,RAPE ,25,33,39,CHILDREN
WEST BENGAL,RAPE ,182,178,354,CHILDREN
TOTAL-STATES,RAPE ,8047,9601,13665,CHILDREN
A & N ISLANDS,RAPE ,15,17,29,CHILDREN
CHANDIGARH,RAPE ,17,18,27,CHILDREN
D & N HAVELI,RAPE ,1,1,4,CHILDREN
DAMAN & DIU,RAPE ,0,9,4,CHILDREN
DELHI,RAPE ,402,516,804,CHILDREN
LAKSHADWEEP,RAPE ,0,0,0,CHILDREN
PUDUCHERRY,RAPE ,17,9,14,CHILDREN
TOTAL-UTs,RAPE ,452,570,882,CHILDREN
TOTAL-INDIA,RAPE ,8499,10171,14547,CHILDREN
ANDHRA PRADESH,KIDNAPPING and ABDUCTION ,744,826,1012,CHILDREN
ARUNACHAL PRADESH,KIDNAPPING and ABDUCTION ,14,20,32,CHILDREN
ASSAM,KIDNAPPING and ABDUCTION ,30,68,75,CHILDREN
BIHAR,KIDNAPPING and ABDUCTION ,2027,1870,1577,CHILDREN
CHHATTISGARH,KIDNAPPING and ABDUCTION ,209,244,435,CHILDREN
GOA,KIDNAPPING and ABDUCTION ,16,13,34,CHILDREN
GUJARAT,KIDNAPPING and ABDUCTION ,721,938,1496,CHILDREN
HARYANA,KIDNAPPING and ABDUCTION ,83,505,488,CHILDREN
HIMACHAL PRADESH,KIDNAPPING and ABDUCTION ,66,85,81,CHILDREN
