states,categories,Tampering _documents,Loss_damage,Hacking,Obscene_publication,Failure_compliance,Failure_assist_decryption,Un-authorised_access,Digital_Signature_Certificate_misrepresentation,Publishing_false_Certificate,Fraud,Breach_confidentiality,Other,Total,year,sub_category
ANDHRA PRADESH,IT ACT,30,330,16,234,0,0,0,0,2,13,10,0,635,2013,IT ACT
ARUNACHAL PRADESH,IT ACT,0,7,0,3,0,0,0,0,0,0,0,0,10,2013,IT ACT
ASSAM,IT ACT,0,42,0,111,0,0,0,0,0,1,0,0,154,2013,IT ACT
BIHAR,IT ACT,0,19,0,3,0,0,1,0,0,0,0,0,23,2013,IT ACT
CHHATTISGARH,IT ACT,0,78,7,3,0,0,0,0,0,3,0,0,91,2013,IT ACT
GOA,IT ACT,4,18,16,16,1,0,2,0,0,0,0,0,57,2013,IT ACT
GUJARAT,IT ACT,13,20,19,7,0,0,0,2,0,0,0,0,61,2013,IT ACT
HARYANA,IT ACT,4,90,4,13,1,0,0,0,0,0,0,0,112,2013,IT ACT
HIMACHAL PRADESH,IT ACT,0,5,1,18,0,0,0,0,0,0,0,0,24,2013,IT ACT
JAMMU & KASHMIR,IT ACT,0,5,16,8,0,0,0,0,0,0,0,17,46,2013,IT ACT
JHARKHAND,IT ACT,0,8,0,2,0,0,0,0,0,2,1,0,13,2013,IT ACT
KARNATAKA,IT ACT,8,247,182,48,0,0,1,1,0,16,10,0,513,2013,IT ACT
KERALA,IT ACT,19,73,56,177,3,1,0,1,0,2,17,0,349,2013,IT ACT
MADHYA PRADESH,IT ACT,1,226,14,41,0,0,0,0,0,0,0,0,282,2013,IT ACT
MAHARASHTRA,IT ACT,11,246,29,122,4,2,0,3,0,2,5,257,681,2013,IT ACT
MANIPUR,IT ACT,0,0,0,0,0,0,0,0,0,1,0,0,1,2013,IT ACT
MEGHALAYA,IT ACT,0,17,0,0,0,0,0,0,0,0,0,0,17,2013,IT ACT
MIZORAM,IT ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,IT ACT
NAGALAND,IT ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,IT ACT
ORISSA,IT ACT,12,29,4,3,0,0,5,0,0,11,1,0,65,2013,IT ACT
PUNJAB,IT ACT,3,73,12,54,0,0,0,1,0,3,0,0,146,2013,IT ACT
RAJASTHAN,IT ACT,6,124,23,81,0,0,1,0,0,2,2,0,239,2013,IT ACT
SIKKIM,IT ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,IT ACT
TAMIL NADU,IT ACT,2,30,5,16,0,0,0,0,0,0,1,,54,2013,IT ACT
TRIPURA,IT ACT,0,8,0,6,0,0,0,0,0,0,0,0,14,2013,IT ACT
UTTAR PRADESH,IT ACT,3,75,71,159,1,3,17,3,2,12,26,0,372,2013,IT ACT
UTTARAKHAND,IT ACT,0,5,0,16,0,0,0,0,0,1,1,0,23,2013,IT ACT
WEST BENGAL,IT ACT,21,112,27,37,3,0,0,1,0,0,9,0,210,2013,IT ACT
TOTAL-STATES,IT ACT,137,1887,502,1178,13,6,27,12,4,69,83,274,4192,2013,IT ACT
A & N ISLANDS,IT ACT,0,17,0,1,0,0,0,0,0,0,0,0,18,2013,IT ACT
CHANDIGARH,IT ACT,0,0,7,2,0,0,0,0,0,0,0,0,9,2013,IT ACT
D & N HAVELI,IT ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,IT ACT
DAMAN & DIU,IT ACT,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,IT ACT
DELHI,IT ACT,0,60,39,20,0,0,0,0,0,2,10,0,131,2013,IT ACT
LAKSHADWEEP,IT ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,IT ACT
PUDUCHERRY,IT ACT,0,2,1,2,0,0,0,0,0,0,0,0,5,2013,IT ACT
TOTAL-UTs,IT ACT,0,79,48,25,0,0,0,0,0,2,10,0,164,2013,IT ACT
TOTAL (ALL INDIA),IT ACT,137,1966,550,1203,13,6,27,12,4,71,93,274,4356,2013,IT ACT
