states,categories,year,between_18,between_1830,between_3045,between_4560,above_60,total,sub_category
ANDHRA PRADESH,TAMPERING DOCUMENTS,2011,0,1,1,0,0,2,COMPUTER
ARUNACHAL PRADESH,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
ASSAM,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
BIHAR,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
CHHATTISGARH,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
GOA,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
GUJARAT,TAMPERING DOCUMENTS,2011,0,7,5,5,1,18,COMPUTER
HARYANA,TAMPERING DOCUMENTS,2011,0,1,1,0,0,2,COMPUTER
HIMACHAL PRADESH,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
JAMMU & KASHMIR,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
JHARKHAND,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
KARNATAKA,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
KERALA,TAMPERING DOCUMENTS,2011,0,2,0,0,0,2,COMPUTER
MADHYA PRADESH,TAMPERING DOCUMENTS,2011,0,2,0,0,0,2,COMPUTER
MAHARASHTRA,TAMPERING DOCUMENTS,2011,0,9,0,0,0,9,COMPUTER
MANIPUR,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
MEGHALAYA,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
MIZORAM,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
NAGALAND,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
ORISSA,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
PUNJAB,TAMPERING DOCUMENTS,2011,0,6,2,0,0,8,COMPUTER
RAJASTHAN,TAMPERING DOCUMENTS,2011,1,3,2,0,0,6,COMPUTER
SIKKIM,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
TAMIL NADU,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
TRIPURA,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
UTTAR PRADESH,TAMPERING DOCUMENTS,2011,0,7,6,2,0,15,COMPUTER
UTTARAKHAND,TAMPERING DOCUMENTS,2011,0,0,1,0,0,1,COMPUTER
WEST BENGAL,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
TOTAL-STATES,TAMPERING DOCUMENTS,2011,1,38,18,7,1,65,COMPUTER
A & N ISLANDS,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
CHANDIGARH,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
D & N HAVELI,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
DAMAN & DIU,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
DELHI,TAMPERING DOCUMENTS,2011,0,0,1,0,0,1,COMPUTER
LAKSHADWEEP,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
PUDUCHERRY,TAMPERING DOCUMENTS,2011,0,0,0,0,0,0,COMPUTER
TOTAL-UTs,TAMPERING DOCUMENTS,2011,0,0,1,0,0,1,COMPUTER
TOTAL-INDIA,TAMPERING DOCUMENTS,2011,1,38,19,7,1,66,COMPUTER
ANDHRA PRADESH,LOSS OR DAMAGE,2011,3,100,60,10,0,173,COMPUTER
ARUNACHAL PRADESH,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
ASSAM,LOSS OR DAMAGE,2011,0,0,6,0,0,6,COMPUTER
BIHAR,LOSS OR DAMAGE,2011,0,2,0,0,0,2,COMPUTER
CHHATTISGARH,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
GOA,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
GUJARAT,LOSS OR DAMAGE,2011,0,6,7,0,0,13,COMPUTER
HARYANA,LOSS OR DAMAGE,2011,0,3,2,0,0,5,COMPUTER
HIMACHAL PRADESH,LOSS OR DAMAGE,2011,0,3,1,0,0,4,COMPUTER
JAMMU & KASHMIR,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
JHARKHAND,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
KARNATAKA,LOSS OR DAMAGE,2011,0,15,2,0,0,17,COMPUTER
KERALA,LOSS OR DAMAGE,2011,3,27,14,3,0,47,COMPUTER
MADHYA PRADESH,LOSS OR DAMAGE,2011,0,22,12,1,1,36,COMPUTER
MAHARASHTRA,LOSS OR DAMAGE,2011,0,28,7,11,0,46,COMPUTER
MANIPUR,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
MEGHALAYA,LOSS OR DAMAGE,2011,0,3,0,0,0,3,COMPUTER
MIZORAM,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
NAGALAND,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
ORISSA,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
PUNJAB,LOSS OR DAMAGE,2011,0,5,4,0,0,9,COMPUTER
RAJASTHAN,LOSS OR DAMAGE,2011,0,23,10,3,0,36,COMPUTER
SIKKIM,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
TAMIL NADU,LOSS OR DAMAGE,2011,0,5,13,1,0,19,COMPUTER
TRIPURA,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
UTTAR PRADESH,LOSS OR DAMAGE,2011,0,11,29,5,0,45,COMPUTER
UTTARAKHAND,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
WEST BENGAL,LOSS OR DAMAGE,2011,0,0,7,1,0,8,COMPUTER
TOTAL-STATES,LOSS OR DAMAGE,2011,6,253,174,35,1,469,COMPUTER
A & N ISLANDS,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
CHANDIGARH,LOSS OR DAMAGE,2011,0,0,4,0,0,4,COMPUTER
D & N HAVELI,LOSS OR DAMAGE,2011,0,1,0,0,0,1,COMPUTER
DAMAN & DIU,LOSS OR DAMAGE,2011,0,0,1,0,0,1,COMPUTER
DELHI,LOSS OR DAMAGE,2011,2,5,3,1,0,11,COMPUTER
LAKSHADWEEP,LOSS OR DAMAGE,2011,0,0,0,0,0,0,COMPUTER
PUDUCHERRY,LOSS OR DAMAGE,2011,0,1,0,0,0,1,COMPUTER
TOTAL-UTs,LOSS OR DAMAGE,2011,2,7,8,1,0,18,COMPUTER
TOTAL-INDIA,LOSS OR DAMAGE,2011,8,260,182,36,1,487,COMPUTER
ANDHRA PRADESH,HACKING ,2011,0,5,1,0,0,6,COMPUTER
ARUNACHAL PRADESH,HACKING ,2011,0,0,2,0,0,2,COMPUTER
ASSAM,HACKING ,2011,0,0,0,0,0,0,COMPUTER
BIHAR,HACKING ,2011,0,2,0,0,0,2,COMPUTER
CHHATTISGARH,HACKING ,2011,0,0,0,0,0,0,COMPUTER
GOA,HACKING ,2011,0,2,0,0,0,2,COMPUTER
GUJARAT,HACKING ,2011,0,0,0,0,0,0,COMPUTER
HARYANA,HACKING ,2011,0,3,0,0,0,3,COMPUTER
HIMACHAL PRADESH,HACKING ,2011,0,0,0,0,0,0,COMPUTER
JAMMU & KASHMIR,HACKING ,2011,0,2,0,0,0,2,COMPUTER
JHARKHAND,HACKING ,2011,0,0,0,0,0,0,COMPUTER
KARNATAKA,HACKING ,2011,0,0,0,0,0,0,COMPUTER
KERALA,HACKING ,2011,0,3,0,0,0,3,COMPUTER
MADHYA PRADESH,HACKING ,2011,0,11,3,0,0,14,COMPUTER
MAHARASHTRA,HACKING ,2011,0,1,13,0,0,14,COMPUTER
MANIPUR,HACKING ,2011,0,0,0,0,0,0,COMPUTER
MEGHALAYA,HACKING ,2011,0,0,0,0,0,0,COMPUTER
MIZORAM,HACKING ,2011,0,0,0,0,0,0,COMPUTER
NAGALAND,HACKING ,2011,0,0,0,0,0,0,COMPUTER
ORISSA,HACKING ,2011,0,0,0,0,0,0,COMPUTER
PUNJAB,HACKING ,2011,0,0,0,0,0,0,COMPUTER
RAJASTHAN,HACKING ,2011,0,0,0,0,0,0,COMPUTER
SIKKIM,HACKING ,2011,0,0,1,0,0,1,COMPUTER
TAMIL NADU,HACKING ,2011,0,8,7,0,0,15,COMPUTER
TRIPURA,HACKING ,2011,0,0,0,0,0,0,COMPUTER
UTTAR PRADESH,HACKING ,2011,0,1,0,0,0,1,COMPUTER
UTTARAKHAND,HACKING ,2011,0,0,0,0,0,0,COMPUTER
WEST BENGAL,HACKING ,2011,0,0,0,0,0,0,COMPUTER
TOTAL-STATES,HACKING ,2011,0,38,27,0,0,65,COMPUTER
A & N ISLANDS,HACKING ,2011,0,0,0,0,0,0,COMPUTER
CHANDIGARH,HACKING ,2011,0,0,0,0,0,0,COMPUTER
D & N HAVELI,HACKING ,2011,0,0,0,0,0,0,COMPUTER
DAMAN & DIU,HACKING ,2011,0,0,0,0,0,0,COMPUTER
DELHI,HACKING ,2011,0,0,0,0,0,0,COMPUTER
LAKSHADWEEP,HACKING ,2011,0,0,0,0,0,0,COMPUTER
PUDUCHERRY,HACKING ,2011,0,0,0,0,0,0,COMPUTER
TOTAL-UTs,HACKING ,2011,0,0,0,0,0,0,COMPUTER
TOTAL-INDIA,HACKING ,2011,0,38,27,0,0,65,COMPUTER
ANDHRA PRADESH,TRANSMISSION IN ELECTRONIC FORM ,2011,2,36,21,2,0,61,COMPUTER
ARUNACHAL PRADESH,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,1,4,0,5,COMPUTER
ASSAM,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
BIHAR,TRANSMISSION IN ELECTRONIC FORM ,2011,0,2,0,0,0,2,COMPUTER
CHHATTISGARH,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
GOA,TRANSMISSION IN ELECTRONIC FORM ,2011,0,2,0,0,0,2,COMPUTER
GUJARAT,TRANSMISSION IN ELECTRONIC FORM ,2011,0,4,1,0,0,5,COMPUTER
HARYANA,TRANSMISSION IN ELECTRONIC FORM ,2011,0,3,2,0,0,5,COMPUTER
HIMACHAL PRADESH,TRANSMISSION IN ELECTRONIC FORM ,2011,0,1,0,0,0,1,COMPUTER
JAMMU & KASHMIR,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
JHARKHAND,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
KARNATAKA,TRANSMISSION IN ELECTRONIC FORM ,2011,0,15,0,2,0,17,COMPUTER
KERALA,TRANSMISSION IN ELECTRONIC FORM ,2011,0,52,22,6,0,80,COMPUTER
MADHYA PRADESH,TRANSMISSION IN ELECTRONIC FORM ,2011,10,27,6,0,0,43,COMPUTER
MAHARASHTRA,TRANSMISSION IN ELECTRONIC FORM ,2011,2,54,20,3,0,79,COMPUTER
MANIPUR,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
MEGHALAYA,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
MIZORAM,TRANSMISSION IN ELECTRONIC FORM ,2011,0,1,0,0,0,1,COMPUTER
NAGALAND,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
ORISSA,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,1,0,0,1,COMPUTER
PUNJAB,TRANSMISSION IN ELECTRONIC FORM ,2011,0,12,6,0,1,19,COMPUTER
RAJASTHAN,TRANSMISSION IN ELECTRONIC FORM ,2011,0,45,14,8,1,68,COMPUTER
SIKKIM,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
TAMIL NADU,TRANSMISSION IN ELECTRONIC FORM ,2011,0,5,2,2,0,9,COMPUTER
TRIPURA,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
UTTAR PRADESH,TRANSMISSION IN ELECTRONIC FORM ,2011,0,22,11,4,0,37,COMPUTER
UTTARAKHAND,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,1,0,0,1,COMPUTER
WEST BENGAL,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,3,0,0,3,COMPUTER
TOTAL-STATES,TRANSMISSION IN ELECTRONIC FORM ,2011,14,281,111,31,2,439,COMPUTER
A & N ISLANDS,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
CHANDIGARH,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,1,0,0,1,COMPUTER
D & N HAVELI,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
DAMAN & DIU,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
DELHI,TRANSMISSION IN ELECTRONIC FORM ,2011,0,2,1,0,0,3,COMPUTER
LAKSHADWEEP,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
PUDUCHERRY,TRANSMISSION IN ELECTRONIC FORM ,2011,0,0,0,0,0,0,COMPUTER
TOTAL-UTs,TRANSMISSION IN ELECTRONIC FORM ,2011,0,2,2,0,0,4,COMPUTER
TOTAL-INDIA,TRANSMISSION IN ELECTRONIC FORM ,2011,14,283,113,31,2,443,COMPUTER
ANDHRA PRADESH,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
ARUNACHAL PRADESH,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
ASSAM,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
BIHAR,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
CHHATTISGARH,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
GOA,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
GUJARAT,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
HARYANA,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
HIMACHAL PRADESH,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
JAMMU & KASHMIR,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
JHARKHAND,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
KARNATAKA,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
KERALA,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
MADHYA PRADESH,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
MAHARASHTRA,FAILURE - OF COMPLIANCE ,2011,0,1,2,1,0,4,COMPUTER
MANIPUR,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
MEGHALAYA,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
MIZORAM,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
NAGALAND,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
ORISSA,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
PUNJAB,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
RAJASTHAN,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
SIKKIM,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
TAMIL NADU,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
TRIPURA,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
UTTAR PRADESH,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
UTTARAKHAND,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
WEST BENGAL,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
TOTAL-STATES,FAILURE - OF COMPLIANCE ,2011,0,1,2,1,0,4,COMPUTER
A & N ISLANDS,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
CHANDIGARH,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
D & N HAVELI,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
DAMAN & DIU,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
DELHI,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
LAKSHADWEEP,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
PUDUCHERRY,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
TOTAL-UTs,FAILURE - OF COMPLIANCE ,2011,0,0,0,0,0,0,COMPUTER
TOTAL-INDIA,FAILURE - OF COMPLIANCE ,2011,0,1,2,1,0,4,COMPUTER
ANDHRA PRADESH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
ARUNACHAL PRADESH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
ASSAM,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
BIHAR,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
CHHATTISGARH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
GOA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
GUJARAT,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
HARYANA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
HIMACHAL PRADESH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
JAMMU & KASHMIR,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
JHARKHAND,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
KARNATAKA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
KERALA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
MADHYA PRADESH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
MAHARASHTRA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
MANIPUR,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
MEGHALAYA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
MIZORAM,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
NAGALAND,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
ORISSA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
PUNJAB,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
RAJASTHAN,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
SIKKIM,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
TAMIL NADU,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
TRIPURA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
UTTAR PRADESH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
UTTARAKHAND,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
WEST BENGAL,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
TOTAL-STATES,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
A & N ISLANDS,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
CHANDIGARH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
D & N HAVELI,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
DAMAN & DIU,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY ,2011,0,0,0,0,0,0,COMPUTER
