states,categories,year_2011,year_2012,year_2013,sub_category
ANDHRA PRADESH,MURDER ,64,54,53,SC
ARUNACHAL PRADESH,MURDER ,0,0,0,SC
ASSAM,MURDER ,0,0,0,SC
BIHAR,MURDER ,29,27,50,SC
CHHATTISGARH,MURDER ,2,6,6,SC
GOA,MURDER ,0,0,0,SC
GUJARAT,MURDER ,12,23,29,SC
HARYANA,MURDER ,14,19,22,SC
HIMACHAL PRADESH,MURDER ,1,0,0,SC
JAMMU & KASHMIR,MURDER ,0,0,0,SC
JHARKHAND,MURDER ,4,1,6,SC
KARNATAKA,MURDER ,31,36,31,SC
KERALA,MURDER ,3,1,2,SC
MADHYA PRADESH,MURDER ,99,88,77,SC
MAHARASHTRA,MURDER ,26,36,40,SC
MANIPUR,MURDER ,0,0,0,SC
MEGHALAYA,MURDER ,0,0,0,SC
MIZORAM,MURDER ,0,0,0,SC
NAGALAND,MURDER ,0,0,0,SC
ODISHA,MURDER ,13,11,19,SC
PUNJAB,MURDER ,5,4,7,SC
RAJASTHAN,MURDER ,51,66,76,SC
SIKKIM,MURDER ,0,1,0,SC
TAMIL NADU,MURDER ,29,37,28,SC
TRIPURA,MURDER ,1,2,3,SC
UTTAR PRADESH,MURDER ,286,234,222,SC
UTTARAKHAND,MURDER ,3,3,5,SC
WEST BENGAL,MURDER ,0,0,0,SC
TOTAL-STATES,MURDER ,673,649,676,SC
A & N ISLANDS,MURDER ,0,0,0,SC
CHANDIGARH,MURDER ,0,0,0,SC
D & N HAVELI,MURDER ,0,0,0,SC
DAMAN & DIU,MURDER ,0,0,0,SC
DELHI,MURDER ,0,0,0,SC
LAKSHADWEEP,MURDER ,0,0,0,SC
PUDUCHERRY,MURDER ,0,2,0,SC
TOTAL-UTs,MURDER ,0,2,0,SC
TOTAL-INDIA,MURDER ,673,651,676,SC
ANDHRA PRADESH,RAPE ,131,104,114,SC
ARUNACHAL PRADESH,RAPE ,0,0,0,SC
ASSAM,RAPE ,0,0,0,SC
BIHAR,RAPE ,29,39,68,SC
CHHATTISGARH,RAPE ,40,63,55,SC
GOA,RAPE ,0,0,0,SC
GUJARAT,RAPE ,45,45,75,SC
HARYANA,RAPE ,56,67,131,SC
HIMACHAL PRADESH,RAPE ,5,13,18,SC
JAMMU & KASHMIR,RAPE ,0,0,0,SC
JHARKHAND,RAPE ,15,8,6,SC
KARNATAKA,RAPE ,32,43,67,SC
KERALA,RAPE ,106,99,115,SC
MADHYA PRADESH,RAPE ,327,367,397,SC
MAHARASHTRA,RAPE ,95,97,179,SC
MANIPUR,RAPE ,0,0,1,SC
MEGHALAYA,RAPE ,0,0,0,SC
MIZORAM,RAPE ,0,0,0,SC
NAGALAND,RAPE ,0,0,0,SC
ODISHA,RAPE ,35,79,99,SC
PUNJAB,RAPE ,9,12,22,SC
RAJASTHAN,RAPE ,216,202,294,SC
SIKKIM,RAPE ,2,3,0,SC
TAMIL NADU,RAPE ,11,34,28,SC
TRIPURA,RAPE ,2,4,3,SC
UTTAR PRADESH,RAPE ,397,285,391,SC
UTTARAKHAND,RAPE ,3,5,7,SC
WEST BENGAL,RAPE ,1,7,2,SC
TOTAL-STATES,RAPE ,1557,1576,2072,SC
A & N ISLANDS,RAPE ,0,0,0,SC
CHANDIGARH,RAPE ,0,0,0,SC
D & N HAVELI,RAPE ,0,0,0,SC
DAMAN & DIU,RAPE ,0,0,0,SC
DELHI,RAPE ,0,0,0,SC
LAKSHADWEEP,RAPE ,0,0,0,SC
PUDUCHERRY,RAPE ,0,0,1,SC
TOTAL-UTs,RAPE ,0,0,1,SC
TOTAL-INDIA,RAPE ,1557,1576,2073,SC
ANDHRA PRADESH,KIDNAPPING AND ABDUCTION ,19,11,14,SC
ARUNACHAL PRADESH,KIDNAPPING AND ABDUCTION ,0,0,0,SC
ASSAM,KIDNAPPING AND ABDUCTION ,0,0,0,SC
BIHAR,KIDNAPPING AND ABDUCTION ,29,0,9,SC
CHHATTISGARH,KIDNAPPING AND ABDUCTION ,1,3,7,SC
GOA,KIDNAPPING AND ABDUCTION ,0,0,0,SC
GUJARAT,KIDNAPPING AND ABDUCTION ,35,32,38,SC
HARYANA,KIDNAPPING AND ABDUCTION ,18,27,37,SC
HIMACHAL PRADESH,KIDNAPPING AND ABDUCTION ,0,0,0,SC
JAMMU & KASHMIR,KIDNAPPING AND ABDUCTION ,0,0,0,SC
JHARKHAND,KIDNAPPING AND ABDUCTION ,11,2,4,SC
KARNATAKA,KIDNAPPING AND ABDUCTION ,11,5,11,SC
KERALA,KIDNAPPING AND ABDUCTION ,6,2,2,SC
MADHYA PRADESH,KIDNAPPING AND ABDUCTION ,62,64,72,SC
MAHARASHTRA,KIDNAPPING AND ABDUCTION ,12,23,33,SC
MANIPUR,KIDNAPPING AND ABDUCTION ,0,0,0,SC
MEGHALAYA,KIDNAPPING AND ABDUCTION ,0,0,0,SC
MIZORAM,KIDNAPPING AND ABDUCTION ,0,0,0,SC
NAGALAND,KIDNAPPING AND ABDUCTION ,0,0,0,SC
ODISHA,KIDNAPPING AND ABDUCTION ,5,11,22,SC
PUNJAB,KIDNAPPING AND ABDUCTION ,2,2,8,SC
RAJASTHAN,KIDNAPPING AND ABDUCTION ,30,43,53,SC
SIKKIM,KIDNAPPING AND ABDUCTION ,1,0,2,SC
TAMIL NADU,KIDNAPPING AND ABDUCTION ,7,4,5,SC
TRIPURA,KIDNAPPING AND ABDUCTION ,3,1,1,SC
UTTAR PRADESH,KIDNAPPING AND ABDUCTION ,363,258,304,SC
UTTARAKHAND,KIDNAPPING AND ABDUCTION ,1,2,4,SC
WEST BENGAL,KIDNAPPING AND ABDUCTION ,0,0,2,SC
TOTAL-STATES,KIDNAPPING AND ABDUCTION ,616,490,628,SC
A & N ISLANDS,KIDNAPPING AND ABDUCTION ,0,0,0,SC
CHANDIGARH,KIDNAPPING AND ABDUCTION ,0,0,0,SC
D & N HAVELI,KIDNAPPING AND ABDUCTION ,0,0,0,SC
DAMAN & DIU,KIDNAPPING AND ABDUCTION ,0,0,0,SC
DELHI,KIDNAPPING AND ABDUCTION ,0,0,0,SC
LAKSHADWEEP,KIDNAPPING AND ABDUCTION ,0,0,0,SC
PUDUCHERRY,KIDNAPPING AND ABDUCTION ,0,0,0,SC
TOTAL-UTs,KIDNAPPING AND ABDUCTION ,0,0,0,SC
TOTAL-INDIA,KIDNAPPING AND ABDUCTION ,616,490,628,SC
ANDHRA PRADESH,DACOITY ,1,0,3,SC
ARUNACHAL PRADESH,DACOITY ,0,0,0,SC
ASSAM,DACOITY ,0,0,0,SC
BIHAR,DACOITY ,3,0,0,SC
CHHATTISGARH,DACOITY ,0,0,0,SC
GOA,DACOITY ,0,0,0,SC
GUJARAT,DACOITY ,9,5,9,SC
HARYANA,DACOITY ,1,0,1,SC
HIMACHAL PRADESH,DACOITY ,0,0,0,SC
JAMMU & KASHMIR,DACOITY ,0,0,0,SC
JHARKHAND,DACOITY ,1,0,0,SC
KARNATAKA,DACOITY ,0,0,3,SC
KERALA,DACOITY ,0,0,0,SC
MADHYA PRADESH,DACOITY ,1,2,0,SC
MAHARASHTRA,DACOITY ,16,16,26,SC
MANIPUR,DACOITY ,0,0,0,SC
MEGHALAYA,DACOITY ,0,0,0,SC
MIZORAM,DACOITY ,0,0,0,SC
NAGALAND,DACOITY ,0,0,0,SC
ODISHA,DACOITY ,1,1,1,SC
PUNJAB,DACOITY ,0,0,0,SC
RAJASTHAN,DACOITY ,0,0,0,SC
SIKKIM,DACOITY ,0,0,0,SC
TAMIL NADU,DACOITY ,0,0,0,SC
TRIPURA,DACOITY ,0,0,0,SC
UTTAR PRADESH,DACOITY ,3,3,2,SC
UTTARAKHAND,DACOITY ,0,0,0,SC
WEST BENGAL,DACOITY ,0,0,0,SC
TOTAL-STATES,DACOITY ,36,27,45,SC
A & N ISLANDS,DACOITY ,0,0,0,SC
CHANDIGARH,DACOITY ,0,0,0,SC
D & N HAVELI,DACOITY ,0,0,0,SC
DAMAN & DIU,DACOITY ,0,0,0,SC
DELHI,DACOITY ,0,0,0,SC
LAKSHADWEEP,DACOITY ,0,0,0,SC
PUDUCHERRY,DACOITY ,0,0,0,SC
TOTAL-UTs,DACOITY ,0,0,0,SC
TOTAL-INDIA,DACOITY ,36,27,45,SC
ANDHRA PRADESH,ROBBERY ,0,1,1,SC
ARUNACHAL PRADESH,ROBBERY ,0,0,0,SC
ASSAM,ROBBERY ,0,0,0,SC
BIHAR,ROBBERY ,3,0,1,SC
CHHATTISGARH,ROBBERY ,1,0,1,SC
GOA,ROBBERY ,0,0,0,SC
GUJARAT,ROBBERY ,19,16,16,SC
HARYANA,ROBBERY ,0,3,2,SC
HIMACHAL PRADESH,ROBBERY ,0,0,0,SC
JAMMU & KASHMIR,ROBBERY ,0,0,0,SC
JHARKHAND,ROBBERY ,0,0,0,SC
KARNATAKA,ROBBERY ,3,1,2,SC
KERALA,ROBBERY ,0,0,1,SC
MADHYA PRADESH,ROBBERY ,5,1,1,SC
MAHARASHTRA,ROBBERY ,12,13,22,SC
MANIPUR,ROBBERY ,0,0,0,SC
MEGHALAYA,ROBBERY ,0,0,0,SC
MIZORAM,ROBBERY ,0,0,0,SC
NAGALAND,ROBBERY ,0,0,0,SC
ODISHA,ROBBERY ,1,1,0,SC
PUNJAB,ROBBERY ,1,0,0,SC
RAJASTHAN,ROBBERY ,1,1,1,SC
SIKKIM,ROBBERY ,0,0,1,SC
TAMIL NADU,ROBBERY ,4,2,10,SC
TRIPURA,ROBBERY ,1,0,0,SC
UTTAR PRADESH,ROBBERY ,3,1,3,SC
UTTARAKHAND,ROBBERY ,0,0,0,SC
WEST BENGAL,ROBBERY ,0,0,0,SC
TOTAL-STATES,ROBBERY ,54,40,62,SC
A & N ISLANDS,ROBBERY ,0,0,0,SC
CHANDIGARH,ROBBERY ,0,0,0,SC
D & N HAVELI,ROBBERY ,0,0,0,SC
DAMAN & DIU,ROBBERY ,0,0,0,SC
DELHI,ROBBERY ,0,0,0,SC
LAKSHADWEEP,ROBBERY ,0,0,0,SC
PUDUCHERRY,ROBBERY ,0,0,0,SC
TOTAL-UTs,ROBBERY ,0,0,0,SC
TOTAL-INDIA,ROBBERY ,54,40,62,SC
ANDHRA PRADESH,ARSON ,14,7,5,SC
ARUNACHAL PRADESH,ARSON ,0,0,0,SC
ASSAM,ARSON ,0,0,0,SC
BIHAR,ARSON ,13,47,51,SC
CHHATTISGARH,ARSON ,0,2,1,SC
GOA,ARSON ,0,0,0,SC
GUJARAT,ARSON ,10,3,10,SC
HARYANA,ARSON ,6,4,2,SC
HIMACHAL PRADESH,ARSON ,0,0,0,SC
JAMMU & KASHMIR,ARSON ,0,0,0,SC
JHARKHAND,ARSON ,0,1,1,SC
KARNATAKA,ARSON ,1,1,1,SC
KERALA,ARSON ,2,5,1,SC
MADHYA PRADESH,ARSON ,28,27,25,SC
MAHARASHTRA,ARSON ,7,9,10,SC
MANIPUR,ARSON ,0,0,0,SC
MEGHALAYA,ARSON ,0,0,0,SC
MIZORAM,ARSON ,0,0,0,SC
NAGALAND,ARSON ,0,0,0,SC
ODISHA,ARSON ,17,31,20,SC
PUNJAB,ARSON ,0,0,0,SC
RAJASTHAN,ARSON ,28,32,26,SC
SIKKIM,ARSON ,0,0,0,SC
TAMIL NADU,ARSON ,4,5,6,SC
TRIPURA,ARSON ,0,1,0,SC
UTTAR PRADESH,ARSON ,39,39,29,SC
UTTARAKHAND,ARSON ,0,0,0,SC
WEST BENGAL,ARSON ,0,0,1,SC
TOTAL-STATES,ARSON ,169,214,189,SC
A & N ISLANDS,ARSON ,0,0,0,SC
CHANDIGARH,ARSON ,0,0,0,SC
D & N HAVELI,ARSON ,0,0,0,SC
