states,categories,year_2011,year_2012,year_2013,sub_category
ANDHRA PRADESH, MURDER ,387,363,322,SENIOR CITIZEN
ARUNACHAL PRADESH, MURDER ,1,0,1,SENIOR CITIZEN
ASSAM, MURDER ,48,51,46,SENIOR CITIZEN
BIHAR, MURDER ,172,202,150,SENIOR CITIZEN
CHHATTISGARH, MURDER ,195,159,174,SENIOR CITIZEN
GOA, MURDER ,6,13,9,SENIOR CITIZEN
GUJARAT, MURDER ,91,152,173,SENIOR CITIZEN
HARYANA, MURDER ,111,93,87,SENIOR CITIZEN
HIMACHAL PRADESH, MURDER ,22,9,16,SENIOR CITIZEN
JAMMU & KASHMIR, MURDER ,21,6,13,SENIOR CITIZEN
JHARKHAND, MURDER ,92,78,62,SENIOR CITIZEN
KARNATAKA, MURDER ,229,215,141,SENIOR CITIZEN
KERALA, MURDER ,109,87,100,SENIOR CITIZEN
MADHYA PRADESH, MURDER ,357,317,254,SENIOR CITIZEN
MAHARASHTRA, MURDER ,354,335,362,SENIOR CITIZEN
MANIPUR, MURDER ,7,12,15,SENIOR CITIZEN
MEGHALAYA, MURDER ,13,14,12,SENIOR CITIZEN
MIZORAM, MURDER ,3,5,5,SENIOR CITIZEN
NAGALAND, MURDER ,8,5,4,SENIOR CITIZEN
ODISHA, MURDER ,88,119,127,SENIOR CITIZEN
PUNJAB, MURDER ,74,114,87,SENIOR CITIZEN
RAJASTHAN, MURDER ,135,148,165,SENIOR CITIZEN
SIKKIM, MURDER ,2,0,1,SENIOR CITIZEN
TAMIL NADU, MURDER ,301,412,442,SENIOR CITIZEN
TRIPURA, MURDER ,12,15,23,SENIOR CITIZEN
UTTAR PRADESH, MURDER ,383,493,598,SENIOR CITIZEN
UTTARAKHAND, MURDER ,20,31,27,SENIOR CITIZEN
WEST BENGAL, MURDER ,198,320,16,SENIOR CITIZEN
TOTAL-STATES, MURDER ,3439,3768,3432,SENIOR CITIZEN
A & N ISLANDS, MURDER ,3,3,0,SENIOR CITIZEN
CHANDIGARH, MURDER ,1,1,0,SENIOR CITIZEN
D & N HAVELI, MURDER ,1,0,2,SENIOR CITIZEN
DAMAN & DIU, MURDER ,3,0,0,SENIOR CITIZEN
DELHI, MURDER ,35,48,45,SENIOR CITIZEN
LAKSHADWEEP, MURDER ,0,0,0,SENIOR CITIZEN
PUDUCHERRY, MURDER ,7,6,9,SENIOR CITIZEN
TOTAL-UTs, MURDER ,47,55,56,SENIOR CITIZEN
TOTAL-INDIA, MURDER ,3486,3823,3488,SENIOR CITIZEN
ANDHRA PRADESH,CULPABLE HOMICIDE  ,39,11,38,SENIOR CITIZEN
ARUNACHAL PRADESH,CULPABLE HOMICIDE  ,0,0,0,SENIOR CITIZEN
ASSAM,CULPABLE HOMICIDE  ,0,0,0,SENIOR CITIZEN
BIHAR,CULPABLE HOMICIDE  ,21,18,18,SENIOR CITIZEN
CHHATTISGARH,CULPABLE HOMICIDE  ,1,1,4,SENIOR CITIZEN
GOA,CULPABLE HOMICIDE  ,0,3,0,SENIOR CITIZEN
GUJARAT,CULPABLE HOMICIDE  ,1,1,6,SENIOR CITIZEN
HARYANA,CULPABLE HOMICIDE  ,2,10,6,SENIOR CITIZEN
HIMACHAL PRADESH,CULPABLE HOMICIDE  ,0,1,0,SENIOR CITIZEN
JAMMU & KASHMIR,CULPABLE HOMICIDE  ,1,0,3,SENIOR CITIZEN
JHARKHAND,CULPABLE HOMICIDE  ,5,2,2,SENIOR CITIZEN
KARNATAKA,CULPABLE HOMICIDE  ,3,11,5,SENIOR CITIZEN
KERALA,CULPABLE HOMICIDE  ,32,43,32,SENIOR CITIZEN
MADHYA PRADESH,CULPABLE HOMICIDE  ,12,12,21,SENIOR CITIZEN
MAHARASHTRA,CULPABLE HOMICIDE  ,20,42,59,SENIOR CITIZEN
MANIPUR,CULPABLE HOMICIDE  ,2,0,1,SENIOR CITIZEN
MEGHALAYA,CULPABLE HOMICIDE  ,0,0,1,SENIOR CITIZEN
MIZORAM,CULPABLE HOMICIDE  ,2,1,0,SENIOR CITIZEN
NAGALAND,CULPABLE HOMICIDE  ,0,0,0,SENIOR CITIZEN
ODISHA,CULPABLE HOMICIDE  ,0,1,0,SENIOR CITIZEN
PUNJAB,CULPABLE HOMICIDE  ,19,15,22,SENIOR CITIZEN
RAJASTHAN,CULPABLE HOMICIDE  ,6,3,4,SENIOR CITIZEN
SIKKIM,CULPABLE HOMICIDE  ,1,0,0,SENIOR CITIZEN
TAMIL NADU,CULPABLE HOMICIDE  ,4,9,2,SENIOR CITIZEN
TRIPURA,CULPABLE HOMICIDE  ,0,0,0,SENIOR CITIZEN
UTTAR PRADESH,CULPABLE HOMICIDE  ,140,153,142,SENIOR CITIZEN
UTTARAKHAND,CULPABLE HOMICIDE  ,7,2,6,SENIOR CITIZEN
WEST BENGAL,CULPABLE HOMICIDE  ,69,28,0,SENIOR CITIZEN
TOTAL-STATES,CULPABLE HOMICIDE  ,387,367,372,SENIOR CITIZEN
A & N ISLANDS,CULPABLE HOMICIDE  ,0,0,0,SENIOR CITIZEN
CHANDIGARH,CULPABLE HOMICIDE  ,1,0,1,SENIOR CITIZEN
D & N HAVELI,CULPABLE HOMICIDE  ,0,0,0,SENIOR CITIZEN
DAMAN & DIU,CULPABLE HOMICIDE  ,0,0,1,SENIOR CITIZEN
DELHI,CULPABLE HOMICIDE  ,1,4,8,SENIOR CITIZEN
LAKSHADWEEP,CULPABLE HOMICIDE  ,0,0,0,SENIOR CITIZEN
PUDUCHERRY,CULPABLE HOMICIDE  ,2,3,0,SENIOR CITIZEN
TOTAL-UTs,CULPABLE HOMICIDE  ,4,7,10,SENIOR CITIZEN
TOTAL-INDIA,CULPABLE HOMICIDE  ,391,374,382,SENIOR CITIZEN
ANDHRA PRADESH,KIDNAPPING AND ABDUCTION ,41,46,33,SENIOR CITIZEN
ARUNACHAL PRADESH,KIDNAPPING AND ABDUCTION ,0,0,2,SENIOR CITIZEN
ASSAM,KIDNAPPING AND ABDUCTION ,0,0,0,SENIOR CITIZEN
BIHAR,KIDNAPPING AND ABDUCTION ,15,3,12,SENIOR CITIZEN
CHHATTISGARH,KIDNAPPING AND ABDUCTION ,11,0,2,SENIOR CITIZEN
GOA,KIDNAPPING AND ABDUCTION ,0,1,2,SENIOR CITIZEN
GUJARAT,KIDNAPPING AND ABDUCTION ,12,8,8,SENIOR CITIZEN
HARYANA,KIDNAPPING AND ABDUCTION ,10,22,83,SENIOR CITIZEN
HIMACHAL PRADESH,KIDNAPPING AND ABDUCTION ,0,1,1,SENIOR CITIZEN
JAMMU & KASHMIR,KIDNAPPING AND ABDUCTION ,6,3,4,SENIOR CITIZEN
JHARKHAND,KIDNAPPING AND ABDUCTION ,1,3,2,SENIOR CITIZEN
KARNATAKA,KIDNAPPING AND ABDUCTION ,28,33,29,SENIOR CITIZEN
KERALA,KIDNAPPING AND ABDUCTION ,5,5,2,SENIOR CITIZEN
MADHYA PRADESH,KIDNAPPING AND ABDUCTION ,5,8,5,SENIOR CITIZEN
MAHARASHTRA,KIDNAPPING AND ABDUCTION ,18,32,24,SENIOR CITIZEN
MANIPUR,KIDNAPPING AND ABDUCTION ,15,18,7,SENIOR CITIZEN
MEGHALAYA,KIDNAPPING AND ABDUCTION ,5,5,2,SENIOR CITIZEN
MIZORAM,KIDNAPPING AND ABDUCTION ,0,1,0,SENIOR CITIZEN
NAGALAND,KIDNAPPING AND ABDUCTION ,1,0,0,SENIOR CITIZEN
ODISHA,KIDNAPPING AND ABDUCTION ,2,2,14,SENIOR CITIZEN
PUNJAB,KIDNAPPING AND ABDUCTION ,2,5,8,SENIOR CITIZEN
RAJASTHAN,KIDNAPPING AND ABDUCTION ,24,47,43,SENIOR CITIZEN
SIKKIM,KIDNAPPING AND ABDUCTION ,0,0,0,SENIOR CITIZEN
TAMIL NADU,KIDNAPPING AND ABDUCTION ,8,19,46,SENIOR CITIZEN
TRIPURA,KIDNAPPING AND ABDUCTION ,3,0,2,SENIOR CITIZEN
UTTAR PRADESH,KIDNAPPING AND ABDUCTION ,7,11,6,SENIOR CITIZEN
UTTARAKHAND,KIDNAPPING AND ABDUCTION ,1,8,72,SENIOR CITIZEN
WEST BENGAL,KIDNAPPING AND ABDUCTION ,666,13,25,SENIOR CITIZEN
TOTAL-STATES,KIDNAPPING AND ABDUCTION ,886,294,434,SENIOR CITIZEN
A & N ISLANDS,KIDNAPPING AND ABDUCTION ,0,0,1,SENIOR CITIZEN
CHANDIGARH,KIDNAPPING AND ABDUCTION ,0,1,1,SENIOR CITIZEN
D & N HAVELI,KIDNAPPING AND ABDUCTION ,0,0,0,SENIOR CITIZEN
DAMAN & DIU,KIDNAPPING AND ABDUCTION ,0,0,0,SENIOR CITIZEN
DELHI,KIDNAPPING AND ABDUCTION ,3,16,7,SENIOR CITIZEN
LAKSHADWEEP,KIDNAPPING AND ABDUCTION ,0,0,0,SENIOR CITIZEN
PUDUCHERRY,KIDNAPPING AND ABDUCTION ,0,0,0,SENIOR CITIZEN
TOTAL-UTs,KIDNAPPING AND ABDUCTION ,3,17,9,SENIOR CITIZEN
TOTAL-INDIA,KIDNAPPING AND ABDUCTION ,889,311,443,SENIOR CITIZEN
