states,categories,year_2011,year_2012,year_2013,sub_category
Andhra Pradesh,MURDER ,9,16,9,ST
Arunachal Pradesh,MURDER ,2,0,0,ST
Assam,MURDER ,0,0,0,ST
Bihar,MURDER ,1,1,2,ST
Chhattisgarh,MURDER ,22,19,8,ST
Goa,MURDER ,0,0,0,ST
Gujarat,MURDER ,9,11,8,ST
Haryana,MURDER ,0,0,0,ST
Himachal Pradesh,MURDER ,0,0,0,ST
Jammu & Kashmir,MURDER ,0,0,0,ST
Jharkhand,MURDER ,4,5,1,ST
Karnataka,MURDER ,3,9,5,ST
Kerala,MURDER ,0,1,0,ST
Madhya Pradesh,MURDER ,49,62,42,ST
Maharashtra,MURDER ,16,11,7,ST
Manipur,MURDER ,0,0,0,ST
Meghalaya,MURDER ,0,0,0,ST
Mizoram,MURDER ,0,0,0,ST
Nagaland,MURDER ,0,0,10,ST
Odisha,MURDER ,6,3,4,ST
Punjab,MURDER ,0,0,0,ST
Rajasthan,MURDER ,19,15,21,ST
Sikkim,MURDER ,0,0,0,ST
Tamil Nadu,MURDER ,0,1,1,ST
Tripura,MURDER ,1,0,0,ST
Uttar Pradesh,MURDER ,2,0,3,ST
Uttarakhand,MURDER ,0,0,0,ST
West Bengal,MURDER ,0,2,1,ST
TOTAL-STATES,MURDER ,143,156,122,ST
A & N Islands,MURDER ,0,0,0,ST
Chandigarh,MURDER ,0,0,0,ST
D & N Haveli,MURDER ,0,0,0,ST
Daman & Diu,MURDER ,0,0,0,ST
Delhi,MURDER ,0,0,0,ST
Lakshadweep,MURDER ,0,0,0,ST
Puducherry,MURDER ,0,0,0,ST
TOTAL-UTs,MURDER ,0,0,0,ST
TOTAL-INDIA,MURDER ,143,156,122,ST
Andhra Pradesh,RAPE ,46,42,37,ST
Arunachal Pradesh,RAPE ,3,0,1,ST
Assam,RAPE ,0,0,0,ST
Bihar,RAPE ,1,0,0,ST
Chhattisgarh,RAPE ,90,118,112,ST
Goa,RAPE ,0,0,0,ST
Gujarat,RAPE ,20,21,34,ST
Haryana,RAPE ,0,0,0,ST
Himachal Pradesh,RAPE ,0,0,0,ST
Jammu & Kashmir,RAPE ,0,0,0,ST
Jharkhand,RAPE ,27,5,15,ST
Karnataka,RAPE ,2,4,19,ST
Kerala,RAPE ,109,39,44,ST
Madhya Pradesh,RAPE ,306,288,329,ST
Maharashtra,RAPE ,57,56,91,ST
Manipur,RAPE ,0,1,2,ST
Meghalaya,RAPE ,0,0,0,ST
Mizoram,RAPE ,0,0,0,ST
Nagaland,RAPE ,0,0,6,ST
Odisha,RAPE ,45,70,58,ST
Punjab,RAPE ,0,0,0,ST
Rajasthan,RAPE ,50,59,83,ST
Sikkim,RAPE ,0,1,0,ST
Tamil Nadu,RAPE ,3,2,2,ST
Tripura,RAPE ,7,1,3,ST
Uttar Pradesh,RAPE ,0,2,2,ST
Uttarakhand,RAPE ,0,0,0,ST
West Bengal,RAPE ,4,20,9,ST
TOTAL-STATES,RAPE ,770,729,847,ST
A & N Islands,RAPE ,1,0,0,ST
Chandigarh,RAPE ,0,0,0,ST
D & N Haveli,RAPE ,1,0,0,ST
Daman & Diu,RAPE ,0,0,0,ST
Delhi,RAPE ,0,0,0,ST
Lakshadweep,RAPE ,0,0,0,ST
Puducherry,RAPE ,0,0,0,ST
TOTAL-UTs,RAPE ,2,0,0,ST
TOTAL-INDIA,RAPE ,772,729,847,ST
Andhra Pradesh,KIDNAPPING AND ABDUCTION ,5,0,2,ST
Arunachal Pradesh,KIDNAPPING AND ABDUCTION ,6,1,0,ST
Assam,KIDNAPPING AND ABDUCTION ,0,0,0,ST
Bihar,KIDNAPPING AND ABDUCTION ,0,0,1,ST
Chhattisgarh,KIDNAPPING AND ABDUCTION ,6,10,5,ST
Goa,KIDNAPPING AND ABDUCTION ,0,0,0,ST
Gujarat,KIDNAPPING AND ABDUCTION ,16,13,22,ST
Haryana,KIDNAPPING AND ABDUCTION ,0,0,0,ST
Himachal Pradesh,KIDNAPPING AND ABDUCTION ,0,0,0,ST
Jammu & Kashmir,KIDNAPPING AND ABDUCTION ,0,0,0,ST
Jharkhand,KIDNAPPING AND ABDUCTION ,30,5,7,ST
Karnataka,KIDNAPPING AND ABDUCTION ,0,1,2,ST
